objectid,filename,title,format,type,youtubeid,vimeoid,latitude,longitude,subject,city,county,state,country,organization,description,date_founded,speciality,source,website,facebook,instagram,tiktok,X,youtubechannel,email,phonenumber,address
pi_011,glprt.jpg,Great Lakes Paranormal Research Team,image/jpeg,Image;StillImage,,,43.038902,-87.906471,Paranormal investigation,Milwaukee,,WI,,Great Lakes Paranormal Research Team,"We began this team to help people move out of fear! We want people to have the support, guidance and resources they need to move away from being fearful of what they can't explain. Knowledge is key. Having a team come in and help you evaluate your situation can make a world of a difference! There is a reason our slogan is: Increase knowledge, eliminate fear! Our Mission: To seek and grow through science, in our understanding of the paranormal. To increase knowledge and help reduce fear. To find logical explanations for strange events. To give professional support and guidance to individuals, families and businesses affected by possible paranormal events. Our Vision:To be able to eventually gather all data collected nationwide, research the findings from all our teams to better able to define, understand and seek more concrete solutions (when needed) to paranormal events that can be disruptive to everyday life. Methodology: Our core team members are not amateurs, we are professionals in the field. Each member brings years of experience. GLPRT uses scientific methods only: Formulation of a question,  Hypothesis, Prediction, Testing, and final Analysis. This means we work to gather, record and measure the data received by our instruments and evaluate the data to see what it tells us. Then we bring our full report to the client. Credit: <a href= ""https://glprt.weebly.com/about-us.html""> Great Lakes Paranormal Research Team </a>",2013,"Investigation, Consultation",From organization website 17.11.2024: https://glprt.weebly.com/,https://glprt.weebly.com/,,,,,,glprtwi@gmail.com,414 973 2287,
pi_012,ipr.jpg,Illionois Paranormal Researchers,image/jpeg,Image;StillImage,,,41.878113,-87.629799,Paranormal investigation,Chicago,,IL,,Illionois Paranormal Researchers,"​​Our goal is to provide clients with a feeling of safety and comfort, during and after an investigation, and to provide clients with the answers they need. We strive to educate all of our clients on what is happening in their homes whether we find ourselves with a legitimate paranormal situation or with rattling pipes.We take a scientific approach to all of our investigations and we set out to debunk what we can to leave the client feeling safe at night. We never claim a haunting without proper evidence to back the claim. We are a paranormal research group operating out of the Chicagoland area. We have been researching the paranormal for many years now and our combined knowledge on the subject has led to some interesting cases. Our members are dedicated to helping people understand and deal with unexplained phenomena. If you think you have unexplained activity in your home please feel free to contact us. We would be glad to help free of charge. Credit: <a href= http://iprparanormal.weebly.com/""> Illinois Paranormal Research </a>",2013,"Investigation, Debunking",From organization website 17.11.2024: http://iprparanormal.weebly.com/,http://iprparanormal.weebly.com/,https://www.facebook.com/people/Illinois-Paranormal-Researchers/100071120114832/,,,,,iprparanormal@gmail.com,,
pi_013,last_gasp.jpg,Last Gasp Paranormal,image/jpeg,Image;StillImage,,,35.426689,-83.446472,Paranormal investigation,Charleston,,NC,,Last Gasp Paranormal,"The Last Gasps is an organization dedicated to a better understanding of the universe. Last Gasps Paranormal was founded to uncover the Truth. It is our mission to provide our clients with the most honest and thorough investigation possible. Credit: <a href= ""http://lastgasps.com/index.html”> Last Gasp </a>",2010,"Apparitions, Cryptids, Demons, Orbs, Poltergeists, Residual Hauntings, Shadow People",From organization website 17.11.2024: http://lastgasps.com/page31.html,http://lastgasps.com/page31.html,https://www.facebook.com/pages/Last-Gasps/152640494761516?fref=ts,,,,,Sirkyl@mindspring.com,404.664.8842,"1643 B Savannah Highway Ste 366 Charleston, South Carolina 30319"
pi_014,nwpor.jpg,Northwest Paranormal and Occult Research,image/jpeg,Image;StillImage,,,49.28273,-123.120735,"paranormal investigation, spirituality",Vancouver,,,Canada,Northwest Paranormal and Occult Research,"We are (N.W.P.O.R) a team that has come together from different religious backgrounds with one common goal; to understand, to experience, and to document the paranormal. With our individual talents, we as a team, take every measure to do in-depth research. We have the latest technology, and  a strong faith in God . We are prepared to debunk claims and validate our own findings. Our northwest roots and relationship building, makes N.W.P.O.R the ideal choice for anyone needing answers or help. N.W.P.O.R is committed to providing a FREE-of-charge service to those experiencing supernatural, preternatural or paranormal phenomenon. We feel a duty to use our technical and spiritual resources to help you to understand and no longer fear those events. Our mission is simple. We will attempt to provide answers and understanding to the client,help elevate the fear, and to turn your house back into your home. We will also try to document and catalog any paranormal occurrences in an effort to provide unquestionable results for study. N.W.P.O.R promises to be professional and diligent in investigating, documenting, and debunking. In the event of an apparent supernatural or a preternatural presence we will use religious resistance using prayer and will cleanse the home. We are prepared to contact religious authorities if we feel they are needed to assist in the removal of the problem. These measures will only be taken at the request of the client or with the consent of our client. We cannot guarantee we can eliminate the phenomena, but we will take any and all measures to do what we can to alleviate the bothersome activity or at least to offer suggestions of techniques to deal with it. Credit: <a href= ""https://www.nwparanormaloccultresearch.com/”> Northwest Paranormal and Occult Research </a>",2009,Supernatural phenomena,From organization website 17.11.2024: https://www.nwparanormaloccultresearch.com/,https://www.nwparanormaloccultresearch.com/,https://www.facebook.com/people/Gavin-Sprenger-Founder/pfbid02RSMTP8baThreM7hKVbVdHb3oyf2gYxXUZgedP22KutpMkpqsi6jbShRMZ2aiVACnl/,https://www.instagram.com/nwparanormal_team/,,,https://www.youtube.com/channel/UCacUqFIqodReJOEk_hV_Log,nwparanormaloccultresearch@gmail.com,360-980-5542,
pi_015,pcpi.jpg,Pacific Coast Paranormal Investigations,image/jpeg,Image;StillImage,,,33.980602,-117.375496,Paranormal investigation,Riverside,,CA,,Pacific Coast Paranormal Investigations,"PCPI is a small, very experienced group of investigators, sensitives, 
videographers, photographers and technicians who are very interested in 
finding out what happens on the other side, and why spirits remain here 
and not moving on. PCPI serves the California, Arizona and Nevada area. Credit: <a href= ""https://www.pacificcoastparanormal.com/""> Pacific Coast Paranormal </a>",1991,"Spirits, Ghosts, Hauntings, Haunted places",From organization website 17.11.2024: https://www.pacificcoastparanormal.com/,https://www.pacificcoastparanormal.com/,https://www.facebook.com/groups/124703520924800/ ; https://www.facebook.com/PCPInvestigations/,,,,,pcpi@pacificcoastparanormal.com,951-795-9610,
pi_016,pgs.jpg,Portersville Ghost Society,image/jpeg,Image;StillImage,,,36.07304,-119.016151,Paranormal investigation,Portersville,,CA,,Portersville Ghost Society,"Porterville Ghost Society (PGS) is  a paranormal team based out of Porterville, California. We  investigate both private and public locations for paranormal activity in Tulare, Kings, Kern and Fresno counties as well as the surrounding areas. PGS is comprised of local people that share a common mission; to provide evidence that ghosts exist. PGS is proudly affiliated with The Atlantic Paranormal  Society (TAPS) as a TAPS Family Member. What this means is that PGS is recognized by TAPS as part of a select group of paranormal researchers within the United States and abroad. TAPS will screen and refer cases to PGS when they are contacted. PGS does not charge any fee for private requests for paranormal investigations. Credit: <a href= ""https://portervilleghostsociety.com/""> Porterville Ghost Society </a>",2008,"Ghosts, Consultation",From organization website 17.11.2024: https://portervilleghostsociety.com/,https://portervilleghostsociety.com/,https://www.facebook.com/people/Porterville-Ghost-Society/100076277310035/,https://www.instagram.com/portervilleghostsociety/,,https://x.com/PGS_Porterville,https://www.youtube.com/channel/UCQcCuRzmQsQW1HsdpjE5q3Q,,,
pi_017,piro.jpg,Paranormal Investigation and Research Organization,image/jpeg,Image;StillImage,,,41.272339,-72.949821,"Paranormal investigation, Student Organization, Social Events",West Haven,,CT,,Paranormal Investigation and Research Organization,"Paranormal Investigation and Research Organization, better known as 
P.I.R.O., is a student run organization based on the discussion and 
study of anything and everything paranormal & supernatural. Each 
week we choose a different topic to speak about during our meeting and 
watch awesome videos relating to it. Besides the weekly meetings you can
 also become an investigator and go on Investigations with our team 
members for the hands on experience. Throughout the school we put on 
various events such as Paranormal Jeopardy, Divination Fair, Costume 
Ball, Masquerade Ball, PAW (which is a week long of events during 
Halloween time), and many more. Come talk about your experiences or even
 if you are a skeptic and join PIRO! Everyone is welcome! Stay spooky! Credit: <a href= ""https://chargerconnection.newhaven.edu/organization/piro""> PIRO </a>",2013,"Discussion of Supernatural, Social Events. Personal Experience Narratives",From organization website 17.11.2024: https://chargerconnection.newhaven.edu/organization/piro,https://chargerconnection.newhaven.edu/organization/piro,,,,,,piro@newhaven.edu,203-312-7476,"300 Boston Post Road West Haven,  CT 06516"
pi_018,pnz.jpg,Paranormal New Zealand,image/jpeg,Image;StillImage,,,-36.848461,174.763336,"Paranormal investigation, folklore, urban legends, historical societies",Auckland,,,New Zealand,Paranormal New Zealand,"""Our primary reason for existing as a team is to experience first-hand and document any perceived paranormal activity so that we may learn to better understand the phenomena and the misconceptions surrounding it. Our aim as a research team is to study these phenomena as closely as possible to form more educated opinions via experimentation, documentation, and simply being present at the moment to record and respond accordingly to it and wherever it may lead us.

Firstly a few things you should know about Paranormal NZ (Formerly Haunted Auckland). We are a small Auckland based team of friendly, dedicated, well seasoned and enthusiastic researchers with differing levels of experience, knowledge, skills and expertise.  Our investigators are intelligent, honest, compassionate and possess critically thinking (yet wide open) minds. We’re also very good listeners.

We work closely with Property Managers, local Councils and Historical organisations to help preserve local histories, bring further awareness and raise funds by running public events.

In our time, the team has successfully raised many (much needed) thousands of  dollars, to assist with the upkeep and general running of these wonderful historic locations. Something we are very proud of.

We are also very proud to have worked alongside and assist both the NZ Police and NZ Fire Services with our work. Credit: <a href= ""https://hauntedauckland.com/""> Paranormal New Zealand </a>",1984,"Hauntings, Haunted locations, Cemeteries, Cryptids, Legends, UFOs, EVP, Cryptozoology, Ufology",,https://hauntedauckland.com/,,,,,,,,
pi_019,rhine.jpg,The Rhine,image/jpeg,Image;StillImage,,,35.994034,-78.898621,Paranormal investigation,Durham,,NC,,The Rhine Research Center,"""The Rhine Research Center explores the frontiers of consciousness and exceptional human experiences in the context of unusual and unexplained phenomena.  The Rhine’s mission is to advance the science of parapsychology, to provide education and resources for the public, and to foster a community for individuals with personal and professional interest in PSI. Credit: <a href= ""https://www.rhineonline.org/""> The Rhine </a>",1935,"Parapsychology, Bioenergy, Healing, Extrasensory Perception",From organization website 17.11.2024: https://www.rhineonline.org/,https://www.rhineonline.org/,https://www.facebook.com/RhineResearchCenter/,,,,https://www.youtube.com/user/RhineResearchCenter,,919-309-4600,"2741 Campus Walk Ave. Building 500 Durham, NC 27705"
pi_020,scars.jpg,So-Cal Apparition Research Society,image/jpeg,Image;StillImage,,,34.52393,-117.216927,Paranormal investigation,Apple Valley,,CA,,So-Cal Apparition Research Society,"S.C.A.R.S is an organization based in southern California that investigates supernatural and paranormal phenomena. Credit: <a href= ""https://scarsociety.com/index.html#/""> SCARS </a>",2012,"Haunted places, Ghosts, EVP",From organization website 17.11.2024: https://scarsociety.com/index.html#/,https://scarsociety.com/index.html#/,https://www.facebook.com/S.C.A.R.Sinc/,https://www.instagram.com/s.c.a.r.s.inc/,,,https://www.youtube.com/@TheScarsociety,scarsociety@yahoo.com,909-846-0104,
pi_021,spirits.jpg,"Supernatural, Paranormal, Investigations, Research, Intuitive, Truth Society",image/jpeg,Image;StillImage,,,42.37698,-70.984383,Paranormal investigation,Winthrop,,MA,,"Supernatural, Paranormal, Investigations, Research, Intuitive, Truth Society","We are S.P.I.R.I.T.S (Supernatural, 
Paranormal, Investigations, Research, Intuitive, Truth Society) of New 
England and we want to help you!

We are headquartered in the 
Boston, MA area, but do travel within the New England States as well as 
NY, PA, and NJ. If you reside outside of these States we work in, please
 feel free to contact us for assistance and we will do our best to 
recommend a reliable and professional Paranormal Team to assist you.

We
 are a small group of dedicated Paranormal Investigators that will come 
to you and use scientific techniques to help find out what the activity 
is in your home! Most of us have gone on at least one investigation with
 the core members and founders of TAPS from the SYFY Channel's #1 Series
 Ghost Hunters. We follow their commitment to professionalism very 
seriously. You can talk to us and we will listen and do our best to make
 you comfortable in your own home again!

A lot of activity can be
 caused by plumbing issues, old homes as they age naturally, heating 
issues, etc. but when we can't find a logical explanation, then we bring
 out the scientific equipment to identify the cause. Our group consists 
people that have had their own paranormal experiences to total skeptics 
but we all share a love for the Paranormal and the search of unanswered 
questions.

Please write to us and let us help you and your 
family! Although people do offer us donations (which we put towards gas 
and camera batteries!) we do not charge any fee for helping you! OUR 
INVESTIGATION SERVICES ARE ALWAYS FREE!

It is an honor for us to come to your home and the more investigations we do, the more we learn and can help others. Credit: <a href= ""http://www.spiritsofnewengland.org/home.html""> SPIRITS </a>",2010,"EVP, Paranormal and Supernatural Phenomena",From organization website 17.11.2024: http://www.spiritsofnewengland.org/,http://www.spiritsofnewengland.org/,https://www.facebook.com/groups/spiritsofnewengland/,,,,,spiritsofnewengland.org@gmail.com,,"294 Revere Street, Winthrop, MA 02152"
pi_022,spr.jpg,Society of Psychical Research,image/jpeg,Image;StillImage,,,51.509865,-0.118092,Paranormal investigation,London,,,United Kingdom,Society of Psychical Research,"The Society for Psychical Research was set up in London in 1882, the first scientific organisation ever to examine claims of psychic and paranormal phenomena. We hold no corporate view about their existence or meaning; rather, our purpose is to gather information and foster understanding through research and education. Credit: <a href= ""https://www.spr.ac.uk/about-spr""> Society for Psychical Research </a>",1882,"Psychic phenomena, Paranormal Phenomena, Education, Research",From organization website 17.11.2024: https://www.spr.ac.uk/,https://www.spr.ac.uk/,https://www.facebook.com/people/The-Society-for-Psychical-Research-SPR/100064845936536/,,,,,secretary@spr.ac.uk,020 7937 8984,"1 Vernon Mews London, W14 0RL"
pi_023,taps.jpg,The Atlantic Paranormal Society,image/jpeg,Image;StillImage,,,41.69865,-71.460182,Paranormal investigation,Warwick,,RI,,The Atlantic Paranormal Society,"Founded in 1990 by Jason Hawes with the sole purpose of helping those experiencing paranormal activity and investigating claims professionally and confidentially all while implementing the latest in paranormal research equipment and techniques. T.A.P.S brings decades of experience in investigating with its pioneering of equipment and techniques that has changed the field of paranormal investigating forever. All research and investigations are performed free of charge. All Articles, Resources & links on this site are here to assist Researchers and Investigators. Credit: <a href= ""https://the-atlantic-paranormal-society.com/about-us/""> TAPS </a>",1990,"Paranormal investigation, Paranormal Phenomena, News, Technology",From organization website 17.11.2024: https://the-atlantic-paranormal-society.com/,https://the-atlantic-paranormal-society.com/,https://www.facebook.com/Jasonhawes.taps; https://www.facebook.com/TAPSHOMETEAM/,https://www.instagram.com/jchawes/,,,,traci@the-atlantic-paranormal-society.com,,
pi_024,wspir.jpg,Washington State Paranormal Investigations and Research,image/jpeg,Image;StillImage,,,47.530102,-122.032616,"Paranormal investigation, Psychic Sciences",Issaquah,,WA,,Washington State Paranormal Investigations and Research,"Established in April 2005, WSPIR is dedicated to assisting those experiencing unexplained phenomenon by in-depth investigation, historical research and education.

WSPIR recognizes the use of psychic sciences as an additional investigative instrument which joins the technical side in generating rich case studies for the benefit of clients and to assist clients in understanding their experiences and helping to lessen their fears.

WSPIR performs every investigation with professionalism and respect – both to the living and to the Spirits. Credit: <a href= ""http://www.wspir.com/""> WSPIR </a>",2005,"Paranormal investigation, Paranormal Phenomena, Psychic Sciences",From organization website 17.11.2024: http://www.wspir.com/,http://www.wspir.com/,,,,,,help@wspir.com,(425) 444-1945,
